Frequency (Hz)	Level (dB)
428.710938	-49.581520
429.687500	-49.695889
430.664062	-49.775997
431.640625	-49.068161
432.617188	-49.284695
433.593750	-50.612762
434.570312	-49.251148
435.546875	-49.916012
436.523438	-50.213909
437.500000	-49.993057
438.476562	-49.069427
439.453125	-50.204277
440.429688	-48.954639
441.406250	-50.030689
442.382812	-50.597507
443.359375	-49.761013
444.335938	-51.059208
445.312500	-50.739044
446.289062	-49.752491
447.265625	-50.332996
448.242188	-50.873768
449.218750	-49.791477
450.195312	-50.505554
451.171875	-50.607937
452.148438	-50.499592
453.125000	-51.669731
454.101562	-50.662952
455.078125	-50.171715
456.054688	-51.074154
457.031250	-51.941856
458.007812	-50.282322
458.984375	-50.822227
459.960938	-50.299797
460.937500	-50.042168
461.914062	-49.477829
462.890625	-49.531307
463.867188	-50.542683
464.843750	-49.516552
465.820312	-51.003738
466.796875	-50.809628
467.773438	-51.546047
468.750000	-50.901577
469.726562	-50.465321
470.703125	-51.467545
471.679688	-50.916042
472.656250	-50.996933
473.632812	-50.035175
474.609375	-51.766834
475.585938	-50.490021
476.562500	-49.953659
477.539062	-51.206421
478.515625	-51.627346
479.492188	-50.765820
480.468750	-50.196861
481.445312	-49.534893
482.421875	-49.968819
483.398438	-50.879410
484.375000	-51.862469
485.351562	-49.486450
486.328125	-50.377720
487.304688	-51.095921
488.281250	-50.635136
489.257812	-50.023697
490.234375	-49.699772
491.210938	-51.025692
492.187500	-50.891396
493.164062	-50.573418
494.140625	-51.374317
495.117188	-51.644936
496.093750	-51.548080
497.070312	-50.033642
498.046875	-50.218857
499.023438	-50.399296
500.000000	-50.514072
500.976562	-49.472115
501.953125	-50.240940
502.929688	-49.143055
503.906250	-49.559303
504.882812	-49.348183
505.859375	-49.662380
506.835938	-50.174892
507.812500	-49.740517
508.789062	-48.720829
509.765625	-49.912563
510.742188	-49.262192
511.718750	-49.954662
512.695312	-49.799526
513.671875	-48.428188
514.648438	-49.657570
515.625000	-50.615154
516.601562	-49.089909
517.578125	-49.317299
518.554688	-49.315529
519.531250	-50.092400
520.507812	-48.472401
521.484375	-49.863770
522.460938	-49.353695
523.437500	-48.260605
524.414062	-49.375614
525.390625	-49.698696
526.367188	-48.363739
527.343750	-48.997578
528.320312	-49.149078
529.296875	-48.992596
530.273438	-48.793495
531.250000	-48.722836
532.226562	-49.443901
533.203125	-49.840263
534.179688	-49.380844
535.156250	-48.897854
536.132812	-47.343258
537.109375	-49.126579
538.085938	-48.102863
539.062500	-47.675842
540.039062	-47.954224
541.015625	-47.985542
541.992188	-48.368954
542.968750	-48.300602
543.945312	-48.660244
544.921875	-47.872623
545.898438	-47.649284
546.875000	-45.754780
547.851562	-47.390369
548.828125	-46.751869
549.804688	-46.788879
550.781250	-47.392109
551.757812	-48.374966
552.734375	-47.410233
553.710938	-47.307156
554.687500	-47.748684
555.664062	-47.326675
556.640625	-47.300941
557.617188	-48.827415
558.593750	-47.600712
559.570312	-46.874527
560.546875	-48.679482
561.523438	-47.548271
562.500000	-49.696804
563.476562	-48.106792
564.453125	-48.931408
565.429688	-48.761879
566.406250	-49.333569
567.382812	-48.695126
568.359375	-48.296097
569.335938	-48.969585
570.312500	-49.084045
