Frequency (Hz)	Level (dB)
414.062500	-53.911869
415.039062	-54.606953
416.015625	-55.302578
416.992188	-54.152046
417.968750	-54.161304
418.945312	-53.893215
419.921875	-52.152782
420.898438	-53.008976
421.875000	-52.832218
422.851562	-53.500000
423.828125	-53.656845
424.804688	-53.649662
425.781250	-53.195705
426.757812	-52.095211
427.734375	-51.405754
428.710938	-47.596661
429.687500	-48.803211
430.664062	-50.944656
431.640625	-51.388142
432.617188	-54.127346
433.593750	-54.200821
434.570312	-54.743042
435.546875	-54.321407
436.523438	-54.454819
437.500000	-53.948654
438.476562	-54.976780
439.453125	-55.439716
440.429688	-55.410763
441.406250	-54.006268
442.382812	-54.509727
443.359375	-56.144180
444.335938	-56.695751
445.312500	-57.023224
446.289062	-56.481792
447.265625	-56.215614
448.242188	-54.406872
449.218750	-57.146324
450.195312	-56.054817
451.171875	-56.768570
452.148438	-56.272930
453.125000	-56.153778
454.101562	-58.617462
455.078125	-58.060974
456.054688	-57.487823
457.031250	-58.941456
458.007812	-57.292576
458.984375	-57.844414
459.960938	-57.353722
460.937500	-58.116978
461.914062	-58.189232
462.890625	-59.262619
463.867188	-57.979702
464.843750	-56.418209
465.820312	-57.578659
466.796875	-58.439377
467.773438	-59.909492
468.750000	-58.823627
469.726562	-59.230801
470.703125	-59.052719
471.679688	-57.445534
472.656250	-60.929733
473.632812	-58.774494
474.609375	-58.684841
475.585938	-58.418015
476.562500	-60.093761
477.539062	-61.477123
478.515625	-59.888710
479.492188	-59.554371
480.468750	-59.892578
481.445312	-62.248360
482.421875	-61.047909
483.398438	-61.567837
484.375000	-62.020779
485.351562	-60.739319
486.328125	-60.580101
487.304688	-60.359329
488.281250	-60.933311
489.257812	-62.134365
490.234375	-63.838165
491.210938	-61.644928
492.187500	-61.017315
493.164062	-59.265583
494.140625	-59.834576
495.117188	-60.131561
496.093750	-59.344208
497.070312	-62.590351
498.046875	-63.004360
499.023438	-61.679096
500.000000	-63.504448
500.976562	-63.703449
501.953125	-62.053120
502.929688	-62.132442
503.906250	-62.823147
504.882812	-62.082951
505.859375	-61.944801
506.835938	-61.171906
507.812500	-61.723389
508.789062	-62.407356
509.765625	-62.052402
510.742188	-64.192146
511.718750	-62.153988
512.695312	-62.776150
513.671875	-61.735653
514.648438	-62.301193
515.625000	-63.171707
516.601562	-63.511379
517.578125	-62.038071
518.554688	-65.248932
519.531250	-64.292183
520.507812	-62.803158
521.484375	-64.652924
522.460938	-61.725033
523.437500	-65.162231
524.414062	-64.785187
525.390625	-65.521126
526.367188	-65.133492
527.343750	-65.464577
528.320312	-63.846050
529.296875	-65.565445
530.273438	-63.572201
531.250000	-66.206459
532.226562	-65.277283
533.203125	-65.331383
534.179688	-64.833778
535.156250	-65.265366
536.132812	-64.922691
537.109375	-64.386848
538.085938	-63.151585
539.062500	-65.074181
540.039062	-64.676079
541.015625	-64.917580
541.992188	-63.959274
542.968750	-66.546906
543.945312	-66.367332
544.921875	-65.787415
545.898438	-64.789917
546.875000	-66.107689
547.851562	-64.783066
548.828125	-66.026878
549.804688	-65.530830
550.781250	-65.777473
551.757812	-65.379257
552.734375	-65.224525
553.710938	-66.036751
554.687500	-65.880959
555.664062	-65.276756
556.640625	-65.791046
557.617188	-65.881760
558.593750	-66.808090
559.570312	-65.802528
560.546875	-65.441696
561.523438	-65.819519
562.500000	-65.091255
563.476562	-66.132706
564.453125	-66.176994
565.429688	-66.561729
566.406250	-65.923958
567.382812	-66.182053
568.359375	-65.772820
569.335938	-66.245964
570.312500	-65.613251
571.289062	-64.700447
572.265625	-65.415726
573.242188	-64.774818
574.218750	-66.249237
575.195312	-65.120255
576.171875	-65.981636
577.148438	-65.324196
578.125000	-65.107559
579.101562	-63.732361
580.078125	-65.760574
581.054688	-64.205475
582.031250	-64.734444
583.007812	-63.603764
583.984375	-64.217697
584.960938	-65.334297
585.937500	-64.094185
586.914062	-63.795223
587.890625	-64.305771
588.867188	-64.354095
589.843750	-65.310997
590.820312	-65.171448
591.796875	-63.240570
592.773438	-63.995510
593.750000	-63.500858
594.726562	-64.039841
