Frequency (Hz)	Level (dB)
390.625000	-49.971214
391.601562	-49.500984
392.578125	-48.336140
393.554688	-48.853893
394.531250	-49.140110
395.507812	-48.483116
396.484375	-48.269531
397.460938	-49.033970
398.437500	-49.053978
399.414062	-49.407188
400.390625	-49.191269
401.367188	-49.671165
402.343750	-49.703705
403.320312	-49.657322
404.296875	-50.037651
405.273438	-50.808765
406.250000	-50.506218
407.226562	-50.433884
408.203125	-51.460918
409.179688	-51.279800
410.156250	-51.559078
411.132812	-52.443985
412.109375	-51.283508
413.085938	-52.030090
414.062500	-53.878464
415.039062	-52.246571
416.015625	-53.142582
416.992188	-52.694939
417.968750	-52.628578
418.945312	-53.916283
419.921875	-55.646427
420.898438	-54.949089
421.875000	-55.783222
422.851562	-55.157822
423.828125	-56.482170
424.804688	-56.637375
425.781250	-57.212658
426.757812	-57.708351
427.734375	-59.180180
428.710938	-58.517273
429.687500	-59.095848
430.664062	-59.715649
431.640625	-58.754379
432.617188	-60.684090
433.593750	-60.927742
434.570312	-60.603466
435.546875	-62.056347
436.523438	-61.156918
437.500000	-62.202431
438.476562	-63.195187
439.453125	-63.404171
440.429688	-62.926971
441.406250	-63.224365
442.382812	-64.783180
443.359375	-64.740189
444.335938	-65.903122
445.312500	-63.730427
446.289062	-65.610382
447.265625	-65.478996
448.242188	-65.474571
449.218750	-65.357384
450.195312	-67.352982
451.171875	-66.000763
452.148438	-65.543526
453.125000	-67.386627
454.101562	-67.504791
455.078125	-65.823013
456.054688	-66.491028
457.031250	-67.328117
458.007812	-66.434784
458.984375	-65.037567
459.960938	-65.447578
460.937500	-64.625381
461.914062	-64.172874
462.890625	-64.295334
463.867188	-64.609222
464.843750	-63.478802
465.820312	-63.096294
466.796875	-63.716290
467.773438	-62.749912
468.750000	-61.337906
469.726562	-62.362247
470.703125	-60.558182
471.679688	-60.474785
472.656250	-60.943508
473.632812	-59.671940
474.609375	-58.270504
475.585938	-57.928177
476.562500	-57.912361
477.539062	-56.370079
478.515625	-54.895588
479.492188	-55.654564
480.468750	-55.158703
481.445312	-53.324909
482.421875	-54.793106
483.398438	-53.836910
484.375000	-52.939419
485.351562	-52.526134
486.328125	-51.295082
487.304688	-50.137493
488.281250	-50.239887
489.257812	-50.422230
490.234375	-51.067875
491.210938	-50.164471
492.187500	-50.923443
493.164062	-50.481907
494.140625	-49.016041
495.117188	-49.079781
496.093750	-48.255775
497.070312	-47.604221
498.046875	-46.973812
499.023438	-48.401562
500.000000	-47.264503
500.976562	-46.534615
501.953125	-47.970474
502.929688	-47.586105
503.906250	-46.694847
504.882812	-46.802464
505.859375	-45.502445
506.835938	-45.863281
507.812500	-46.235245
508.789062	-44.149364
509.765625	-44.731339
510.742188	-45.304821
511.718750	-43.188473
512.695312	-44.476334
513.671875	-43.638691
514.648438	-45.215103
515.625000	-44.235989
516.601562	-43.392319
517.578125	-45.125637
518.554688	-44.596962
519.531250	-45.875977
520.507812	-44.983433
521.484375	-44.226093
522.460938	-43.816322
523.437500	-46.270981
524.414062	-45.876503
525.390625	-47.003220
526.367188	-46.051769
527.343750	-46.531624
528.320312	-46.964928
529.296875	-48.386787
530.273438	-46.830418
531.250000	-48.327358
532.226562	-47.671120
533.203125	-47.725426
534.179688	-46.905357
535.156250	-47.954830
536.132812	-49.309002
537.109375	-48.581341
538.085938	-49.402355
539.062500	-49.313576
540.039062	-50.198460
541.015625	-49.816013
541.992188	-50.009411
542.968750	-49.405151
543.945312	-48.543259
544.921875	-48.992237
545.898438	-49.126526
546.875000	-50.311623
547.851562	-50.454727
548.828125	-50.807552
549.804688	-49.222458
550.781250	-50.831516
551.757812	-49.754559
552.734375	-49.737053
553.710938	-48.950928
554.687500	-50.154099
555.664062	-48.800034
556.640625	-50.638672
557.617188	-50.042347
558.593750	-49.444790
559.570312	-49.439194
560.546875	-49.893795
561.523438	-49.706837
562.500000	-50.793072
563.476562	-49.350040
564.453125	-50.450199
565.429688	-49.743813
566.406250	-50.910400
